Category,Quality,Name,Price
RPG,75,"Futuristic Legends 0",34616
Acción,94,"Ancient Quest 1",24731
Simulación,81,"Bright Quest 2",50780
Estrategia,18,"Bright Saga 3",8155
Aventura,82,"Dark Odyssey 4",58178
Acción,53,"Mystic Legends 5",9730
Estrategia,18,"Dark Frontier 6",54416
Aventura,96,"Cyber Quest 7",61138
RPG,13,"Mystic Chronicles 8",1683
Simulación,71,"Dark Chronicles 9",32242
Aventura,35,"Dark Realm 10",63039
Acción,31,"Mystic Realm 11",1178
Estrategia,89,"Mystic Realm 12",49997
Deportes,38,"Mystic Chronicles 13",6979
RPG,39,"Mystic Saga 14",48083
Deportes,65,"Bright Quest 15",19602
Aventura,75,"Dark Legends 16",27157
RPG,39,"Ancient Odyssey 17",66237
RPG,9,"Dark Chronicles 18",3804
Simulación,85,"Bright Realm 19",19191
