Category,Quality,Name,Price
RPG,42,Mystic Saga 0,76
RPG,57,Futuristic Odyssey 1,1
Strategy,26,Ancient Quest 2,86
Adventure,47,Dark Saga 3,9
Simulation,72,Ancient Chronicles 4,91
Action,36,Bright Odyssey 5,77
Strategy,45,Mystic Odyssey 6,69
Action,32,Dark Frontier 7,80
RPG,51,Epic Frontier 8,26
Indie,55,Dark Quest 9,80
Sports,12,Epic Quest 10,28
Indie,27,Dark Odyssey 11,49
Strategy,88,Dark Odyssey 12,30
RPG,95,Mystic Quest 13,93
Sports,74,Bright Saga 14,79
Adventure,0,Bright Realm 15,95
Adventure,95,Futuristic Saga 16,61
Puzzle,94,Epic Saga 17,42
Puzzle,63,Cyber Saga 18,21
Strategy,3,Bright Saga 19,94
